,Additional_outlet_count,Cost_for_two,Delivery_Time,Home_Delivery,Delivery_cost,Rating,votes,Cuisine_count,Feature_count,Rest_type_count
172,4,2500,45,0,76,4.4,1459,3,1,1
173,4,1600,45,1,99,4.1,1489,6,2,1
174,4,800,45,1,0,0.0,238,2,1,1
175,4,1600,45,0,76,4.2,277,2,2,2
176,1,1800,45,0,76,3.9,597,6,1,2
177,1,500,45,1,99,4.1,897,1,1,1
178,4,600,53,1,99,4.3,1363,3,1,1
179,4,800,45,1,99,4.2,2261,3,1,1
180,1,1200,45,1,0,0.0,238,2,1,1
181,4,2700,45,1,99,4.3,1100,3,2,2
182,4,1800,45,0,76,4.2,1964,8,6,2
183,4,1500,45,0,76,4.8,221,8,4,2
184,4,1500,45,0,76,4.1,1827,3,1,1
185,1,300,45,1,99,4.2,746,1,1,1
186,4,1200,45,0,76,4.3,3233,4,1,1
187,1,1000,45,1,99,4.6,1387,5,2,1
188,4,1300,45,0,76,0.0,238,4,1,2
189,1,2300,45,0,76,4.3,1622,1,1,1
190,4,1000,45,0,76,4.5,2133,3,2,1
191,4,2700,45,0,76,4.2,2022,4,1,1
192,1,200,45,0,76,4.4,1928,2,1,1
193,4,3000,45,0,76,4.2,122,3,1,1
194,4,250,45,1,99,3.7,3676,4,1,1
195,12,1600,45,0,76,4.0,1754,5,1,1
196,5,700,30,1,99,4.1,2251,6,1,1
197,2,500,30,1,99,4.2,897,4,1,1
198,4,1000,45,1,99,4.1,3027,3,2,1
199,1,550,50,1,99,3.8,749,1,1,1
200,4,2500,45,0,76,4.4,424,2,1,1
201,1,1700,30,1,99,4.0,506,2,1,1
202,4,1000,44,1,0,4.1,2241,2,1,1
203,4,1000,45,0,76,3.9,424,4,1,1
204,2,450,30,1,99,4.0,1628,4,1,1
205,1,600,45,1,0,3.5,25,3,1,2
206,5,1400,45,1,99,4.3,6746,3,2,2
207,4,1600,45,1,99,4.2,797,4,1,2
208,4,1300,45,0,76,4.2,4853,4,2,1
209,4,200,45,1,99,4.1,1503,1,2,1
210,1,1700,50,1,99,4.5,3136,5,4,1
211,4,2400,45,0,76,4.6,1061,4,1,2
212,5,1600,45,0,76,4.1,3018,7,4,2
213,4,2500,45,0,76,4.5,1693,4,3,1
214,1,600,45,0,76,4.3,1698,1,1,1
215,2,2500,45,0,76,3.6,1045,2,1,1
216,1,1000,45,0,76,4.5,3312,4,2,1
217,4,1700,45,0,76,3.8,556,1,1,1
218,4,1200,45,0,76,3.9,1151,3,3,1
219,4,650,45,1,99,4.5,507,3,1,1
220,4,550,45,1,99,4.0,975,2,1,1
221,4,1500,45,0,76,4.5,1997,3,2,1
222,4,4000,45,0,76,0.0,238,3,1,1
223,4,3000,45,0,76,4.2,410,1,1,1
224,5,1400,50,1,99,4.0,2045,4,1,1
225,26,500,47,1,99,3.7,886,2,1,1
226,1,800,45,0,76,4.6,1640,5,1,1
227,4,650,45,1,99,3.8,937,8,1,1
228,4,2100,45,0,76,4.1,200,2,2,1
229,4,1000,45,0,76,4.0,1188,4,1,1
230,4,1000,45,0,76,4.1,239,2,3,1
231,4,1000,45,0,76,4.2,2607,1,2,1
232,4,800,45,0,76,3.8,1189,5,1,1
233,4,1200,45,0,76,4.1,904,5,1,1
234,4,750,45,0,76,4.0,932,5,1,1
235,1,1200,55,1,99,4.0,1872,3,1,1
236,2,1300,45,0,76,4.3,831,3,1,1
237,4,1200,40,1,0,4.4,2129,1,1,2
238,4,1200,45,0,76,4.7,642,4,1,2
239,4,2200,45,0,76,4.7,687,7,3,2
240,8,1200,45,0,76,3.8,1645,3,1,1
241,4,1600,45,0,76,4.3,1282,6,1,1
242,4,1500,45,0,76,4.2,2041,6,2,2
243,9,1800,60,1,0,4.1,1395,2,1,1
244,4,3500,45,0,76,4.3,1645,4,2,1
245,3,1150,45,0,76,4.0,1538,2,1,1
246,4,1200,45,0,76,3.6,359,4,1,2
247,4,2200,45,1,0,4.4,1511,8,4,2
248,4,1180,45,0,76,4.3,476,2,2,1
249,4,800,50,1,99,4.1,1260,8,1,1
250,3,800,30,1,0,4.2,629,3,1,1
251,4,850,45,0,76,4.6,940,7,1,1
252,4,2300,45,0,76,4.1,732,3,1,1
253,15,200,45,0,76,4.4,1610,3,1,1
254,3,300,45,1,0,3.9,1287,5,1,2
255,4,300,45,0,76,4.1,3590,2,2,2
256,4,650,45,0,76,4.1,1894,2,1,1
257,4,500,45,0,76,4.0,747,4,1,1
258,34,650,45,1,0,4.0,259,1,1,1
259,4,1500,45,0,76,0.0,238,7,2,2
260,4,1600,51,1,99,4.6,2042,8,5,2
261,4,4000,45,0,76,4.3,970,2,1,1
262,4,1000,45,0,76,3.9,1135,7,1,1
263,8,1000,45,0,76,3.9,1510,1,1,2
264,4,1200,55,1,99,4.1,1768,3,1,2
265,1,1500,45,1,99,4.2,2747,3,1,2
266,1,500,50,1,99,4.1,1827,8,1,1
267,4,700,45,1,99,4.0,249,1,1,1
268,4,2000,43,1,0,4.1,1577,5,3,1
269,4,1300,40,1,0,4.1,2235,4,1,1
270,1,700,45,0,76,4.0,400,4,1,1
271,4,1600,55,1,99,4.3,2419,5,2,2
272,4,1200,45,1,99,4.2,2202,3,2,1
273,7,1900,45,0,76,4.1,2856,2,2,2
274,4,1200,45,0,76,3.8,1454,2,1,1
275,4,700,45,1,99,3.8,655,5,1,1
276,4,1500,45,0,76,4.5,684,2,1,1
277,4,1200,60,1,99,4.8,959,8,1,2
278,1,1900,45,0,76,3.9,261,4,1,1
279,4,500,30,1,0,4.0,896,3,1,1
280,4,2200,45,0,76,4.2,781,2,1,1
281,4,1200,45,0,76,4.0,638,1,1,2
282,4,1000,45,0,76,4.5,1069,2,1,1
283,1,550,50,1,99,3.8,1007,4,1,1
284,4,1000,45,0,76,3.8,363,4,1,1
285,4,1500,45,1,0,0.0,238,8,2,1
286,2,600,45,1,99,4.1,409,1,1,1
287,4,1200,45,0,76,4.5,304,5,1,1
288,4,3000,45,0,76,4.0,565,1,2,1
289,4,1600,45,1,0,4.0,1166,5,1,1
290,4,1200,45,1,99,3.8,364,2,1,1
291,2,600,55,1,99,4.2,2141,2,4,2
292,4,400,45,0,76,4.5,1068,3,2,1
293,4,1200,45,1,99,4.2,1369,4,1,1
294,4,1500,45,1,99,4.2,816,1,1,2
295,4,1100,45,0,76,4.1,739,2,1,1
296,4,1500,45,1,99,3.9,648,3,1,2
297,4,2000,55,1,99,4.1,3136,5,3,2
298,1,400,45,1,0,4.1,109,2,1,1
299,4,1200,40,1,0,4.3,132,6,1,1
300,4,990,45,0,76,4.0,318,2,1,1
301,4,450,45,1,99,3.9,1932,4,1,1
302,4,700,45,1,0,4.4,442,1,1,1
303,4,1400,45,1,99,4.0,1834,8,3,1
304,64,500,45,0,76,2.9,440,3,1,1
305,4,3000,45,0,76,4.2,765,1,1,1
306,4,400,45,0,76,0.0,238,2,1,2
307,4,1000,50,1,175,4.1,2051,2,1,1
308,4,900,50,1,200,3.8,2225,3,1,1
309,4,200,45,1,99,4.3,835,3,1,1
310,4,1200,45,0,76,4.1,797,3,1,2
311,4,1500,45,0,76,4.5,459,8,1,1
312,4,1000,55,1,200,4.0,1564,6,3,2
313,4,800,45,0,76,4.3,412,4,1,1
314,4,2500,45,0,76,4.3,249,5,1,1
315,4,1900,45,1,99,4.4,583,3,1,1
316,1,350,45,0,76,3.9,309,1,1,1
317,4,600,45,1,99,3.8,787,6,1,1
318,4,1800,45,1,99,4.4,2774,8,1,1
319,4,1800,45,0,76,4.1,1051,3,1,2
320,4,1300,45,1,99,4.3,709,7,2,2
321,4,700,45,0,76,4.4,877,6,1,1
322,4,700,45,0,76,4.4,877,6,1,1
323,4,2000,45,0,76,0.0,238,2,2,2
324,4,1400,50,1,0,4.0,1128,4,3,1
325,10,300,45,1,99,3.9,568,8,1,2
326,3,400,45,0,76,4.1,480,2,1,2
327,4,650,40,1,99,4.4,1230,4,1,1
328,1,2000,60,1,99,4.1,672,2,1,2
329,4,1500,45,0,76,3.9,2941,3,2,2
330,1,1000,45,1,99,4.3,1164,5,1,2
331,3,1800,45,1,0,4.2,449,4,1,2
332,1,400,45,1,99,4.1,537,3,1,1
333,4,1000,45,1,250,4.5,2821,4,2,1
334,4,1200,45,0,76,4.2,2461,3,2,2
335,4,800,45,1,0,4.0,716,4,1,1
336,4,1000,45,0,76,4.1,339,8,1,1
337,1,800,45,0,76,4.2,1226,2,1,1
338,4,350,45,0,76,4.2,553,2,1,1
339,4,4000,45,0,76,4.5,1554,5,4,1
340,4,2500,45,0,76,4.0,796,3,1,1
341,4,1400,50,1,99,4.3,1525,4,1,2
342,4,350,45,1,99,4.3,252,2,1,2
343,2,600,30,1,99,4.1,753,4,1,2
344,4,1400,45,1,99,4.0,390,5,2,1
345,4,1600,45,1,99,4.0,843,8,4,1
346,4,500,45,1,99,4.3,558,1,1,1
347,1,700,55,1,99,4.1,751,5,1,1
348,4,650,45,1,99,3.8,1690,2,1,1
349,4,2000,45,0,76,4.1,1877,2,1,2
350,6,1800,55,1,99,3.9,1054,2,1,1
351,4,1500,45,0,76,0.0,238,7,1,2
352,8,1800,45,0,76,3.8,813,4,1,1
353,1,1600,50,1,0,4.0,238,6,1,1
354,1,800,45,0,76,4.1,930,8,1,2
355,4,1400,30,1,99,4.1,1534,7,1,1
356,4,1400,45,0,76,4.1,2533,8,1,1
357,4,350,45,0,76,4.9,276,1,2,1
358,4,1700,45,1,99,4.4,733,2,1,1
359,4,3000,45,0,76,4.3,930,2,1,1
360,4,300,45,1,99,4.4,459,2,1,1
361,11,500,50,1,99,4.3,469,2,1,1
362,9,2100,45,1,0,4.0,119,5,1,1
363,4,1000,40,1,99,4.3,763,7,1,2
364,4,1800,45,0,76,4.3,984,5,1,1
365,4,400,30,1,0,4.5,188,2,1,1
366,4,2200,45,0,76,4.1,240,3,1,2
367,4,1200,45,1,99,4.0,2097,5,2,1
368,4,2000,45,0,76,4.0,1612,3,1,1
369,4,1200,45,1,99,4.3,1155,2,1,1
370,4,700,45,1,0,0.0,238,4,1,1
371,2,1000,50,1,99,3.9,2203,2,1,1
372,1,1400,45,1,99,4.1,648,2,1,1
373,4,700,45,1,99,3.9,664,5,1,1
374,1,2000,45,1,99,4.1,1718,4,3,1
375,1,500,45,1,0,4.0,140,6,1,1
376,4,600,45,1,99,3.8,659,4,1,1
377,3,950,45,0,76,3.8,1186,2,1,1
378,1,800,55,1,200,4.3,1026,4,1,1
379,2,750,45,0,76,4.1,1746,6,1,1
380,4,2000,45,0,76,3.8,92,2,1,1
381,33,500,40,1,0,4.2,198,2,1,1
382,4,1200,45,1,99,4.1,2420,4,2,1
383,4,1800,45,1,0,0.0,238,3,1,1
384,4,300,45,0,76,4.0,579,5,1,1
385,4,800,45,0,76,4.3,878,2,1,1
386,1,1200,45,1,99,4.7,1675,1,1,1
387,4,1100,45,0,76,4.5,289,4,2,1
388,4,1400,45,1,99,4.3,2142,4,1,2
389,4,1300,45,1,99,4.4,1009,7,1,1
390,1,200,45,1,99,0.0,238,1,1,1
391,4,2000,45,0,76,3.8,727,3,1,2
392,4,3000,45,0,76,4.2,719,2,1,1
393,8,550,45,1,99,3.1,218,4,1,1
394,4,800,57,1,0,3.9,982,1,1,1
395,3,1700,55,1,99,4.4,1614,5,1,2
396,1,600,45,1,99,4.0,765,2,1,1
397,4,700,45,0,76,4.2,1407,2,1,1
398,4,3000,45,0,76,4.1,970,2,1,1
399,4,1800,45,0,76,4.3,459,2,2,2
400,4,1000,45,1,99,4.6,836,8,1,2
401,4,400,45,1,0,4.4,145,2,1,1
402,4,700,45,1,99,4.1,1508,4,2,1
403,4,1100,45,0,76,3.9,941,8,1,2
404,4,4000,45,0,76,4.2,953,3,3,1
405,4,400,45,0,76,4.0,2741,3,1,1
406,4,1200,45,0,76,4.8,1356,1,3,1
407,4,700,48,1,99,3.9,874,4,1,1
408,5,700,49,1,99,4.0,909,6,1,1
409,4,1000,65,1,250,4.2,1513,3,1,1
410,4,2000,45,1,0,4.1,1777,1,2,2
411,4,2500,45,0,76,3.9,987,2,1,2
412,57,150,45,0,76,4.2,369,1,1,1
413,4,1700,45,1,99,4.2,1410,3,1,2
414,4,1200,45,1,99,3.8,452,5,1,2
415,4,800,45,0,76,4.1,1033,3,1,1
416,4,400,30,1,99,3.8,313,3,1,1
417,4,5000,45,0,76,4.4,1450,2,2,1
418,4,600,45,0,76,4.1,824,3,1,1
419,2,250,60,1,0,4.0,308,1,1,1
420,1,1500,40,1,0,3.8,1425,7,1,1
421,1,1400,45,1,99,4.0,1075,5,1,1
422,20,400,45,0,76,4.1,467,2,1,1
423,35,400,30,1,99,3.8,917,1,1,1
424,4,800,45,1,99,4.0,572,3,1,1
425,4,350,50,1,99,4.7,552,1,1,1
426,1,600,45,0,76,4.1,752,2,1,1
427,4,500,45,1,99,4.3,786,3,2,1
428,4,1200,45,0,76,0.0,238,2,1,2
429,4,1000,45,0,76,4.4,411,8,1,2
430,4,5000,45,0,76,4.4,1450,2,2,1
431,16,150,45,0,76,4.2,1125,1,1,1
432,2,450,45,0,76,3.9,574,3,1,1
433,4,600,45,1,99,3.9,2144,6,1,1
434,1,550,45,1,0,3.6,441,5,1,1
435,4,700,55,1,199,4.1,1061,4,1,1
436,4,900,45,1,99,4.0,1444,3,1,1
437,4,1700,45,1,99,4.3,840,6,1,1
438,4,1600,45,0,76,3.8,1732,2,2,1
439,1,2000,45,0,76,4.3,1421,2,3,2
440,4,1500,45,0,76,4.3,649,1,1,2
441,4,2000,45,0,76,0.0,238,1,1,1
442,4,1300,45,0,76,4.8,733,3,3,1
443,1,900,45,1,99,4.1,811,3,1,1
